,Country,Abbr,Internet_Use_Perc_2011,Internet_Use_Perc_2012,Internet_Use_Perc_2013,Internet_Use_Perc_2014,Internet_Use_Perc_2015,Internet_Use_Perc_2016,Internet_Use_Perc_2017,Internet_Use_Perc_2018,Internet_Use_Perc_2019,IncomeGroup,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019
166,Saudi Arabia,SAU,47.5,54.0,60.5,64.7,69.6,74.9,94.2,93.3,95.7,High income,28267591.0,29154906.0,30052058.0,30916603.0,31717676.0,32443443.0,33101183.0,33702757.0,34268529.0,10.0,5.4,2.7,3.7,4.1,1.7,-0.7,2.4,0.3
167,Senegal,SEN,9.8,10.8,13.1,17.7,21.7,25.7,29.6,35.3,39.5,Lower middle income,13033814.0,13401990.0,13782429.0,14174740.0,14578450.0,14993514.0,15419354.0,15854324.0,16296362.0,1.3,4.0,2.4,6.2,6.4,6.4,7.4,6.2,4.4
168,Serbia,SRB,42.2,48.1,53.5,62.1,65.3,67.1,70.3,73.4,77.4,Upper middle income,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,6982604.0,6945235.0,2.0,-0.7,2.9,-1.6,1.8,3.3,2.1,4.5,4.3
169,Seychelles,SYC,43.2,47.1,50.4,51.3,54.3,56.5,58.8,70.1,75.0,High income,87441.0,88303.0,89949.0,91359.0,93419.0,94677.0,95843.0,96762.0,97625.0,7.9,1.3,6.0,4.5,4.9,4.6,4.7,1.8,1.2
170,Sierra Leone,SLE,0.9,2.5,4.0,6.1,6.3,11.8,13.2,15.8,16.8,Low income,6563238.0,6712586.0,6863975.0,7017153.0,7171909.0,7328846.0,7488427.0,7650149.0,7813207.0,6.3,15.2,20.7,4.6,-20.6,6.1,4.2,3.5,5.3
171,Singapore,SGP,71.0,72.0,80.9,79.0,79.0,84.5,84.5,88.2,88.9,High income,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,6.3,4.5,4.8,3.9,3.0,3.3,4.5,3.5,1.3
173,Slovak Republic,SVK,74.4,76.7,77.9,80.0,77.6,80.5,81.6,80.4,82.9,High income,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454147.0,2.6,1.4,0.7,2.7,5.2,1.9,3.0,3.8,2.6
174,Slovenia,SVN,67.3,68.3,72.7,71.6,73.1,75.5,78.9,79.7,83.1,High income,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2088385.0,0.9,-2.6,-1.0,2.8,2.2,3.2,4.8,4.4,3.3
177,South Africa,ZAF,34.0,41.0,46.5,49.0,51.9,54.0,56.2,62.4,68.2,Upper middle income,52003759.0,52832659.0,53687125.0,54544184.0,55386369.0,56207649.0,57009751.0,57792520.0,58558267.0,3.2,2.4,2.5,1.4,1.3,0.7,1.2,1.5,0.1
179,Spain,ESP,67.1,69.8,71.6,76.2,78.7,80.6,84.6,86.1,90.7,High income,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47133521.0,-0.8,-3.0,-1.4,1.4,3.8,3.0,3.0,2.3,2.1
187,Sweden,SWE,92.8,93.2,94.8,92.5,90.6,89.7,93.0,89.2,94.5,High income,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2.0,2.0
188,Switzerland,CHE,85.2,85.2,86.3,87.4,87.5,89.1,89.7,91.8,93.1,High income,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0,1.9,1.2,1.8,2.4,1.7,2.0,1.6,2.9,1.2
191,Tanzania,TZA,3.2,4.0,4.4,7.0,10.0,13.5,16.0,19.0,20.0,Lower middle income,45673520.0,47053033.0,48483132.0,49960563.0,51482638.0,53049231.0,54660345.0,56313444.0,58005461.0,7.7,4.5,6.8,6.7,6.2,6.9,6.8,5.4,5.8
192,Thailand,THA,23.7,26.5,28.9,34.9,39.3,47.5,52.9,56.8,66.7,Upper middle income,67518379.0,67835969.0,68144519.0,68438748.0,68714519.0,68971313.0,69209817.0,69428454.0,69625581.0,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.3
194,Togo,TGO,3.5,4.0,4.5,5.7,7.1,11.3,12.4,15.5,19.3,Low income,6595939.0,6773807.0,6954721.0,7137997.0,7323162.0,7509952.0,7698476.0,7889095.0,8082359.0,6.4,6.5,6.1,5.9,5.7,5.6,4.3,5.0,5.5
197,Tunisia,TUN,39.1,41.4,43.8,46.2,46.5,49.6,55.5,64.2,66.7,Lower middle income,10741872.0,10846993.0,10952949.0,11063195.0,11179951.0,11303942.0,11433438.0,11565203.0,11694721.0,-1.7,3.9,2.1,2.7,1.0,1.1,2.2,2.5,1.4
198,Turkey,TUR,43.1,45.1,46.2,51.0,53.7,58.3,64.7,71.0,74.0,Upper middle income,73443254.0,74651046.0,75925454.0,77229262.0,78529413.0,79827868.0,81116451.0,82340090.0,83429607.0,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.9
203,Ukraine,UKR,28.7,35.3,41.0,46.2,48.9,53.0,58.9,62.6,70.1,Lower middle income,45706086.0,45593342.0,45489648.0,45272155.0,45154036.0,45004673.0,44831135.0,44622518.0,44386203.0,5.4,0.2,0.0,-10.1,-9.8,2.4,2.4,3.5,3.2
204,United Arab Emirates,ARE,78.0,85.0,88.0,90.4,90.5,90.6,94.8,98.5,99.1,High income,8946778.0,9141598.0,9197908.0,9214182.0,9262896.0,9360975.0,9487206.0,9630966.0,9770526.0,6.9,4.5,5.1,4.4,5.1,3.0,2.4,1.2,3.4
205,United Kingdom,GBR,85.4,87.5,89.8,91.6,92.0,94.8,90.4,90.7,92.5,High income,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,1.5,1.5,1.9,3.0,2.6,2.3,2.1,1.7,1.7
206,United States,USA,69.7,74.7,71.4,73.0,74.6,85.5,87.3,88.5,89.4,High income,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,1.6,2.2,1.8,2.5,3.1,1.7,2.3,3.0,2.2
207,Uruguay,URY,51.4,54.5,57.7,61.5,64.6,66.4,70.3,80.7,83.4,High income,3368926.0,3378975.0,3389436.0,3400439.0,3412013.0,3424139.0,3436645.0,3449290.0,3461731.0,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4
208,Uzbekistan,UZB,18.6,23.6,26.8,35.5,42.8,46.8,48.7,55.2,70.4,Lower middle income,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.4,5.7
211,Vietnam,VNM,35.1,36.8,38.5,41.0,45.0,53.0,58.1,69.8,68.7,Lower middle income,88871384.0,89801926.0,90752593.0,91713850.0,92677082.0,93640435.0,94600643.0,95545959.0,96462108.0,6.2,5.2,5.4,6.0,6.7,6.2,6.8,7.1,7.0
213,West Bank and Gaza,PSE,41.1,43.4,46.6,53.7,56.7,59.9,63.3,64.4,70.6,Lower middle income,3882986.0,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,4685306.0,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4
216,Zimbabwe,ZWE,8.4,12.0,15.5,16.4,22.7,23.1,24.4,25.0,25.1,Lower middle income,12894323.0,13115149.0,13350378.0,13586710.0,13814642.0,14030338.0,14236599.0,14438812.0,14645473.0,14.2,16.7,2.0,2.4,1.8,0.8,4.7,4.8,-6.1
